file_path,filename,inferred_category
/Users/steven/scripts/archive-old/carbon-automation-v2.sh,carbon-automation-v2.sh,script_archive
/Users/steven/scripts/archive-old/cleanup_carbon_images.sh,cleanup_carbon_images.sh,script_archive
/Users/steven/scripts/archive-old/carbon_gallery.md.txt,carbon_gallery.md.txt,doc_archive
/Users/steven/scripts/archive-old/carbon-batch-v2.sh,carbon-batch-v2.sh,script_archive
/Users/steven/scripts/archive-old/carbon-automation.sh,carbon-automation.sh,script_archive
/Users/steven/scripts/archive-old/carbon-batch-v3.sh,carbon-batch-v3.sh,script_archive
/Users/steven/scripts/archive-old/carbon-render-common-v2.sh,carbon-render-common-v2.sh,script_archive
/Users/steven/scripts/archive-old/carbon-batch.sh,carbon-batch.sh,script_archive
/Users/steven/scripts/carbon-automation-v4.sh,carbon-automation-v4.sh,script
/Users/steven/pythons/carbon-batch-macos-v2.zip,carbon-batch-macos-v2.zip,archive
/Users/steven/pythons/carbon-now-d9CesFCEy5.png,carbon-now-d9CesFCEy5.png,asset
/Users/steven/pythons/carbon-now-53kvVbA6A-.png,carbon-now-53kvVbA6A-.png,asset
/Users/steven/pythons/.worktrees/Context-Expert-Agent/carbon-now-d9CesFCEy5.png,carbon-now-d9CesFCEy5.png,asset
/Users/steven/pythons/.worktrees/Context-Expert-Agent/carbon-now-53kvVbA6A-.png,carbon-now-53kvVbA6A-.png,asset
/Users/steven/.x-cmd.root/local/data/pkg/metadata/v0.1.3/install/multimedia/carbon-now-cli.json,carbon-now-cli.json,config
/Users/steven/.x-cmd.root/local/data/pkg/metadata/v0.1.3/install/multimedia/carbonyl.json,carbonyl.json,config
/Users/steven/PYTHON_MARKETPLACE_MASTER/PRODUCT_ASSETS/ORIGINAL_PRODUCTS_v1/content_recycling_machine/carbon_run_summary.tsv,carbon_run_summary.tsv,data
/Users/steven/.vscode/extensions/hknain.carbon-pulse-1.0.6,hknain.carbon-pulse-1.0.6,tool
/Users/steven/.vscode/extensions/hknain.carbon-pulse-1.0.6/themes/Carbon Pulse-color-theme.json,Carbon Pulse-color-theme.json,config
/Users/steven/Downloads/2025-09-04-conversations/2025-6-8/21-8-18-Automate_Carbon_Image_Creation.md,21-8-18-Automate_Carbon_Image_Creation.md,doc
/Users/steven/Downloads/pipreqs_env/lib/python3.12/site-packages/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/Downloads/14_JSON_Configs/carbon-config.json,carbon-config.json,config
/Users/steven/.cache/uv/archive-v0/dqAiqZQ6xdvAu6N3/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/.cache/uv/archive-v0/9iETwb56Il89iCE1/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/.hermes/hermes-agent/venv/lib/python3.11/site-packages/pygments/lexers/carbon.py,carbon.py,library
