FilePath,LineNumber,IssueType,Severity,Description,Suggestion,FileHash_SHA256,IsDuplicate,DuplicateOf
/Users/steven/scripts/setup-development-environment.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,080a5c7cbe1d433f24676195c53957c2d187eccea15068712a39f707a4c4bd28,false,
/Users/steven/scripts/advanced-system-maintenance-v5-backup.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,3d03146f35831a50df8c021664846c06226cbb956827126dda64acb9028ab8a9,false,
/Users/steven/scripts/generate-marketmaster-final-guide.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,3b0b3b2cc3207ab1dcf24ba4833f570bc4b964a7bd14f601dc16c58694116ab3,false,
/Users/steven/scripts/conversation-fuzzy-finder.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,5190867974c2e080de588adeac7263b8bebea1a6a68e329ffb3124d6277bad72,false,
/Users/steven/scripts/clean/sortD.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,e824aba02225b930f39c8b5b69aed78d0b2e0e3b0b4ef6c8e52c68cfca6728d4,false,
/Users/steven/scripts/clean/back-clean.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,46b8b2d8a928450e42f3fe9294641c21ce7c60e5e8f9b7b8efb84d9f5ac0c1bc,false,
/Users/steven/scripts/split_iterm2_log.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,664a6ca76f2df75c2bc5468a8bba8a69a77fc43cb3b7ce3b8efda1d951625e07,false,
/Users/steven/scripts/backup-nocturnemelodies-collection.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,83113195f850aa16662a732f7a46fd9b05e68a57c520a534ae2e4ff9d53deb50,false,
/Users/steven/scripts/run-ultra-simple-demo-script.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,8389f7fd8648d2a799b898c096d695bdd8dd3b1e73fa9056f7c52bc76f1ab535,false,
/Users/steven/scripts/run-mcp-diagnostics.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,8151c401b4649a3ee1d979bb7b1ab9c8675135c13ea2c6fb0d5628afeb3b5cf9,false,
/Users/steven/scripts/advanced-system-maintenance-v3.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,370b03aeb7175b9524faa08e9c7939a349f7e605088e513ad171c7c8ab0e9a3d,false,
/Users/steven/scripts/print-final-filesystem-analysis-summary.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,fc52fa6a196d86848c8808b86bfdee64124eb3a2bf1c2879086a9c1aa0370c46,false,
/Users/steven/scripts/execute-special-cases.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,f2ab8f70c9822d11d88a4d90cd6bf5506d6bdb5f3200312e1a69db3cf1c3b00c,false,
/Users/steven/scripts/consolidate-masterxeo-simple.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,2a82322570fdb5b8c064702d8ba442840744daf638ae8e32e06a9b3f7f9c6cf2,false,
/Users/steven/scripts/wav_to_mp3.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,fa49c7c79a82c0ac54ee6d0e8344515c9b95b854ca8bcc27686378682b4d355c,false,
/Users/steven/scripts/advanced-system-maintenance-v5-preview.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,2512bb61109166b4f149422a237a73fbc62383bf99341b729e3c48440e38f6e3,false,
